Abandon;TERK ETMEK
Annoy;RAHATSIZ ETMEK, KIZDIRMAK
Annual;YILLIK
Another;DİĞER, BİR BAŞKA
Answer;YANIT
Ant;KARINCA
Anti;KARŞI, ZIT, TERS
Anticipate;1)ÖN GÖRMEK 2)BEKLEMEK
Antique;ANTİKA
Anxiety;ENDİŞE
Anxious;ENDİŞELİ
Anxiously;ENDİŞELİ OLMAK
Any;HERHANGİ
Anybody;HERHANGİ BİRİ
Anyone;HERHANGİ BİRİ
Anything;HERHANGİ BİR ŞEY
Anyway;HER NEYSE
Anywhere;HERHANGİ BİR YER
Apart;AYRI
Apart From;HARİÇ, DIŞINDA
Apartment;APARTMAN DAİRESİ
Ape;MAYMUN
Apologize;ÖZÜR DİLEMEK
Apparent; AÇIK,KOLAYCA GÖRÜNEN
Apparently;BARİZ OLMAK,GÖRÜNMEK
Appeal;1.HOŞA GİDEN 2.YALVARMAK 3.ÜST MAHKEMEYE BAŞVURMAK
Appear;GÖRÜNMEK
Appearance;GÖRÜNÜŞ
Appetite;İŞTAH
Apple;ELMA
Applicant;BAŞVURAN
Application;BAŞVURU
Apply;1.BAŞVURMAK 2.UYGULAMAK
Appoint;ATAMAK
Appointment;1.RANDEVU 2.ATAMA
Appreciate;MÜTEŞEKKİR, DEĞER BİLMEK ,BEĞENMEK
Approach;1.YAKLAŞMAK 2.YAKLAŞIM 3.GELİŞ
Approve;ONAYLAMAK
Approximate;YAKLAŞIK OLARAK
Apricot;KAYISI
April;NİSAN
Archbishop;BAŞPİSKOPOS
Architect;MİMAR
Architecture;MİMARİ
Area;ALAN, BÖLGE
Argue;TARTIŞMAK
Argument;TARTIŞMA
Arise;KALKMAK, YÜKSELMEK
Aristocrat;ARİSTOKRAT
Arm;KOL, SİLAH
Armchair;KOLTUK
Armour;ZIRH
Army;ORDU
Around;1.AŞAĞI YUKARI 2.ÇEVRE
Arrange;DÜZENLEMEK, AYARLAMAK
Arrest;TUTUKLAMAK
Arrival;VARIŞ
Arrive;VARMAK
Arrow;OK
Art;SANAT
Article;1.MAKALE 2.EŞYA
Article Of Association;ANA SÖZLEŞME
Artificial;YAPAY
Artist;SANATÇI
As;1.GİBİ 2.OLARAK 3.OLARAK
Ash;KÜL
Ashamed;UTANMIŞ
Aside;BİR YANDA
Ask;SORMAK, İSTEMEK
Asleep;UYKUDA
Aspect;GÖRÜNÜŞ, GÖRÜŞ, HAL, ÇEHRE, DURUM
Ass;1.EŞEK 2.APTAL
Assembly;1.MONTAJ 2.OTURUM
Asset;VARLIK
Assist;YARDIM ETMEK
Assistant;YARDIMCI
Associate;İLGİLENMEK, BİRLEŞTİRMEK
Association;CEMİYET,BİRLİK,AYNI ŞEYLE İLGİLİ OLAN
Assume;VARSAYMAK
Assurance;GÜVEN,İNANÇ,SÖZ
Assure;TEMİN ETMEK,SÖZ VERMEK,İKNA ETMEK
Assured;1)ÖNCEDEN BELLİ 2)KENDİNE GÜVENEN
Astonish;ŞAŞIRMAK (bir kimseye)
At;DE..DA  eki
Atmosphere;HAVAKÜRE, ATMOSFER
Attach;BİRLEŞTİRMEK
Attachment;İLAVE, EK
Attack;SALDIRMAK, ATAK
Attempt;DENEMEK
Attend;KATILMAK, (bir yerde)BULUNMAK
Attendant;1) HİZMETÇİ, HİZMETKAR 2) REFAKAT EDEN KİMSE
Attention;DİKKAT
Attitude;YAKLAŞIM, DÜŞÜNCE, HAREKET, TAVIR
Attractive;ÇEKİCİ
Auction;MÜZAYEDE, MEZAT
Audience;İZLEYİCİ (TV,Tiyatro vb.)
Augment;İLAVE ETMEK, ARTTIRMAK, ZAM YAPMAK
Augmentation;ZAM, EKLEME
August;AĞUSTOS
Aunt;TEYZE, HALA
Author;YAZAR
Authority;OTORİTE
Autumn;SONBAHAR
Available;HAZIR, SERBEST, BOŞTA
Avenue;CADDE
Average;ORTALAMA
Avoid;KAÇINMAK
Awake;UYANIK
Award;MÜKAFAT
Aware;BİLGİLİ, FARKINDA OLMAK, HABERDAR OLMAK
Away;BURADAN, BURADA DEĞİL
Awful;KÖTÜ, BERBAT, ÜZÜCÜ
Awkward;1)ACEMİ,SAKAR 2)KULLANILMASI,ANLAŞILMASI GÜÇ
Axe;BALTA
Baby;BEBEK
Babysitter;ÇOCUK BAKICISI
Bachelor;1)BEKAR 2)ÜNİVERSİTENİN İLK DERECESİ
Back;1.ARKA 2.SIRT
Backbone;1.SIRT KEMİĞİ 2.BİR İŞİN TEMELİ
Backbone;1)OMURGA 2)TEMEL TAŞI, EN ÖNEMLİ BÖLÜM
Background;1.FON, GERİ PLAN 2.TEMEL
Backward;GERİYE DOĞRU
Bad;KÖTÜ
Badly;1.KÖTÜ 2.ÇOK FAZLA
Bag;ÇANTA
Baggage;BAGAJ
Bake;PİŞİRMEK
Baker;FIRINCI
Balance;1.DENGE 2.BAKİYE
Balcony;BALKON
Bald;KEL
Bale;BALYA (Halı,Tütün vs.)
Ball;1.TOP 2.BALO
Ballerina;BALERİN
Ballet;BALE
Balloon;BALON
Ban;YASAK
Banal;BANAL,ADİ
Banana;MUZ
Band;1.BANT (şerit)  2.BANDO
Bandage;BANDAJ,YARA BANDI
Baneful;KÖTÜ, KÖTÜ ŞEY (A Baneful ınfluence=Kötü etki)
Banish;1)SÜRGÜNE YOLLAMA 2)DÜŞÜNMEKTEN VAZGEÇME
Bank;BANKA
Banker;BANKA YÖNETİCİSİ, BANKER
Banknote;KAĞIT PARA
Bankrupt;İFLAS
Bar;1.ÇUBUK 2.BAR
Barbarous;BARBAR, VAHŞİ
Barber;BERBER
Bare;ÇIPLAK, BOŞ
Bargain;1.PAZARLIK ETMEK 2.KELEPİR
Barrel;1.VARİL 2.NAMLU
Base;1. TABAN 2.ÜS
Basement;BODRUM
Basin;KAZAN
Basin;1) LEĞEN 2) LEĞEN DOLUSU 3) HAVZA
Basket;SEPET
Bastardize;1)DEĞERİNİ DÜŞÜRMEK 2)KONUNUN ANLAMINI DEĞİŞTİRMEK
Bath;YIKANMAK
Bathe;YIKAMAK (bedenin bir bölümünü)
Battery;PİL
Battle;SAVAŞ, MUHAREBE
Bawl;BAĞIRMAK VEYA AĞLAMAK (Seslice)
Bay;KOY
Beach;SAHİL
Bean;FASULYE
Bear;1.TAŞIMAK, DAYANABİLMEK 2.AYI
Beard;SAKAL
Beast;CANAVAR
Beat;1.VURMAK  2.YENMEK
Beautiful;GÜZEL
Beauty;GÜZELLİK
Because;ÇÜNKÜ
Become;GELİŞMEK, DEĞİŞMEK
Bed;YATAK
Bee;ARI
Beef;DANA ETİ
Beer;BİRA
Beetle;HAMAMBÖCEĞİ
Before;ÖNCE
Beforehand;ÖNCEDEN
Beg;DİLENMEK
Begin;BAŞLAMAK
Behave;DAVRANMAK
Behind;ARKADA, GERİDE
Being;VARLIK
Believe;İNANMAK
Bell;ZİL, ÇAN
Belong;AİT OLMAK
Below;ALTTA, AŞAĞIDA
Belt;KEMER
Bench;1.TEZGAH  2.BANK
Bend;EĞMEK, EĞİLMEK
Beneath;ALTINDA
Benefit;YARARI OLMAK
Berry;KÜÇÜK ÇEKİRDEKSİZ MEYVE
Beside;YANINDA
Besides;HEM DE
Best;EN İYİ
Bet;İDDİA ETMEK, İDDİAYA GİRMEK
Better;DAHA İYİ
Between;ARASINDA
Beyond;ÖTESİNDE
Bias;ÖN YARGI,EĞİLİM
Bicycle;BİSİKLET
Big;BÜYÜK
Bike;BİSİKLET
Bill;1.MAKBUZ 2.HESAP 3.KANUN TASLAĞI 4.GAGA (KUŞ)
Bin;KAP
Bind;BAĞLAMAK
Bird;KUŞ
Birth;DOĞUM
Birthday;DOĞUMGÜNÜ
Biscuit;BİSKÜVİ
Bishop;PİSKOPOS
Bit;1.PARÇA 2.MATKAP,ANAHTARIN UCU 3.ISIRMANIN PAST ŞEKLİ
Bite;ISIRMAK
Black;SİYAH
Bladder;1) MESANE, KESE, SİDİK TORBASI 2)İÇ LASTİK
Blade;USTURA, BIÇAK
Blame;SORUMLU TUTMAK, SUÇLAMAK
Blank;BOŞLUK
Blanket;BATTANİYE
Blast;PATLAYARAK PARÇALANMA, MAHVETMEK
Bless;(Tanrı'dan) KORUNMASINI DİLEMEK, TAKDİS
Blind;KÖR
Blister;KABARCIK
Block;BLOK
Blockade;ABLUKAYA ALMA
Blood;KAN
Bloom;ÇİÇEK, ÇİÇEK AÇMAK
Blouse;BLUZ
Blow;ÜFLEMEK, PATLAMAK
Blue;1. MAVİ 2.MUTSUZ
Bluff;BLÖF
Board;BİNMEK (gemiye,uçağa,vs.) 2.TAHTA 3.KURUL
Boast;ÖVÜNMEK
Boat;BOT;SANDAL
Body;GÖVDE;VÜCUT
Bodyguard;KORUMA GÖREVLİSİ, GORİL
Boil;KAYNAMAK
Boiler;KAZAN
Bold;CÜRETKAR, UTANMAZ, KORKUSUZ vs.
Bolt;1)CIVATA2)SÜRGÜ(kapı) 3)ANİ KAÇIŞ(korkuyla) 4)SOMUN
Bomb;BOMBA
Bone;KEMİK
Bonfire;MEYDAN ATEŞİ, ŞENLİK ATEŞİ
Bonnet;1)ÇOCUK BAŞLIĞI 2)ARABANIN KAPUTU
Bony;ÇOK ZAYIF
Book;KİTAP
Book;YER AYIRTMAK
Booklet;BROŞÜR
Boom;1)PATLAMAK 2)ÇOK HIZLI GENİŞLEMEK
Boot;1)AYAKKABI,BOT 2)BAGAJ
Border;SINIR
Bore;CAN SIKMAK
Bored;CANI SIKILMIŞ
Boring;SIKICI (I'm bored=Sıkıldım,I'm boring=Sıkıcıyım)
Born;DOĞMUŞ
Borrow;ÖDÜNÇ ALMAK
Boss;PATRON
Both;İKİSİ
Bother;CAN SIKMAK,ÜZMEK
Bottle;ŞİŞE
Bottom;EN ALT, DİP
Bounce;1)YANSITMAK 2)ZIPLATMAK (Top vs.)
Bound;BAĞLI, SINIRLI,ATLAMAK
Boundary;SINIR
Bow;YAY
Bowl;TAS
Box;1.KUTU 2.BOKS
Boy;ERKEK ÇOCUK
Bra;SUTYEN
Brain;BEYİN
Brake;FRENLEMEK, FREN
Branch;1)DAL 2)ŞUBE,KOL
Brand;1)MARKA 2)LEKELEMEK,KÖTÜ ÜN
Brand-New;YENİ MODEL,YEPYENİ
Brass;PİRİNÇ (metal)
Brave;KORKUSUZ, CESUR
Bread;EKMEK
Break;KIRMAK
Break Down;1)ÇÖKÜŞ 2)AYIRMA,SINIFLAMA,DETAYLANDIRMA
Breakfast;KAHVALTI
Break-Out;1)ANİDEN BAŞLAMA,PATLAK VERME(SAVAŞ)2)KAÇMAK(HAPİS)
Breast;GÖĞÜS
Breath;NEFES
Breathe;NEFES ALMAK
Bribe;RÜŞVET
Brick;TUĞLA
Bride;GELİN
Bridge;KÖPRÜ
Brief;KISA, ÖZETLİ
Briefcase;İŞ ÇANTASI
Bright;PARLAK
Brilliant;PARLAK,AKILLI
Bring;GETİRMEK
Broad;GENİŞ
Broadcast;YAYIN (radyo ve T.V. yoluyla)
Brochure;BROŞÜR
Broken;KIRIK
Broker;KOMİSYONCU,SİMSAR
Brooch;BROŞ, İĞNE
Broom;SÜPÜRGE
Brother;ERKEK KARDEŞ, AĞABEY
Brother-In-Law;KAYINBIRADER
Brow;ALIN
Brown;KAHVERENGİ
Brush;1.FIRÇA  2.FIRÇALAMAK
Bucket;KOVA
Budget;1.BÜTÇE  2.BÜTÇE YAPMAK
Build;İNŞA ETMEK, YAPMAK
Building;BİNA
Bulb;AMPUL
Bull;BOĞA
Bullet;MERMİ
Bump;ÇARPIŞMA
Bumper;TAMPON (araba)
Bumpy;ENGEBELİ
Bunch;DESTE, DEMET
Bungalow;BUNGALOV
Bureau;BÜRO
Bureaucracy;BÜROKRASİ
Burglar;HIRSIZ
Burn;YANMAK
Burst;PATLAMAK
Bury;GÖMMEK
Bus;OTOBÜS
Bush;ÇALI
Business;İŞ
Busy;MEŞGUL
But;FAKAT
Butcher;KASAP
Butter;TEREYAĞ
Button;DÜĞME
Buy;SATIN ALMAK
By;YANINDA, SIRASINDA, TARAFINDAN, ..E KADAR
By The Way;BUNUN YANINDA, AKLIMA GELMİŞKEN
Cab;TAKSİ
Cabbage;LAHANA
Cabin;KABİN
Cabinet;KABİNE
Cable;1.KABLO 2.TELGRAF
Cage;KAFES
Cake;KEK
Calculate;HESAPLAMAK
Calendar;TAKVİM
Calf;1)FİL veya BALİNA YAVRUSU, BUZAĞI 2)BALDIR
Call;1.ÇAĞIRMAK 2.TELEFON ETMEK 3.KISA ZİYARET
Calm;SAKİN
Camel;DEVE
Camera;KAMERA
Camouflage;SAKLAMAK
Camp;KAMP
Campaign;KAMPANYA
Campus;KAMPÜS
Can;TENEKE KUTU
Canal;KANAL
Canary;1) KANARYA KUŞU 2)KANARYA SARISI
Cancel;İPTAL ETMEK
Cancellation;İPTAL
Cancer;KANSER
Candidate;ADAY
Candle;MUM
Cannon;TOP (silah)
Canteen;KANTİN
Capable;MUKTEDİR
Capacity;KAPASİTE
Capital;1.BAŞKENT 2.BÜYÜK HARF 3.SERMAYE, ANAMAL
Captain;1.KAPTAN  2.YÜZBAŞI
Capture;1.ELE GEÇİRMEK  2.HAPSE ATMAK
Car;ARABA
Caravan;KARAVAN
Carbon-Paper;KARBON KAĞIDI
Card;KART
Cardigan;HIRKA
Care;DİKKAT, ÖZEN
Career;MESLEK
Carefree;ÖNEMSEMEYEN
Careful;DİKKATLİ
Careless;DİKKATSİZ
Cargo;KARGO
Carnival;KARNAVAL
Carpenter;MARANGOZ
Carpet;HALI
Carriage;1.FAYTON 2.VAGON
Carrier;TAŞIYICI
Carrot;HAVUÇ
Carry;TAŞIMAK
Carryover;DEVİR
Cartridge;KARTUŞ,ŞARJÖR
Case;1.KUTU,KAP 2.DAVA
Cash;NAKİT
Cash-Register;YAZAR KASA
Castle;KALE
Casual;1)PLANLANMIYAN (casual meeting) 2)NORMAL, SADE
Cat;KEDİ
Catch;YAKALAMAK
Caterpillar;TIRTIL
Cattle;BÜYÜKBAŞ HAYVAN
Cauliflower;KARNIBAHAR
Cause;1.NEDEN  2.NEDEN OLMAK
Caution;UYARI
Cave;MAĞARA
Cease;DURDURMAK
Cease-Fire;ATEŞ-KES
Ceiling;TAVAN
Celebration;KUTLAMA
Cell;HÜCRE (hapis,beyin v.b)
Cellar;KİLER, BODRUM
Cement;ÇİMENTO
Central;MERKEZİ
Centre;ORTA, MERKEZ
Century;YÜZYIL
Cereal;TAHIL, MISIR
Ceremony;SEREMONİ
Certain;KESİN,BELİRLİ,  EMİN OLMAK
Certainly;KUŞKUSUZ
Certificate;SERTİFİKA
Chain;ZİNCİR
Chair;İSKEMLE
Chairman;YÖNETİM KURULU BAŞKANI
Chalk;TEBEŞİR
Challenge;MEYDAN OKUMA
Chamber;ODA (Chamber of commerce = Ticaret odası vb.)
Champagne;ŞAMPANYA
Champion;ŞAMPİYON
Championship;ŞAMPİYONA
Chance;ŞANS, FIRSAT
Change;1.DEĞİŞMEK  2.DEĞİŞİM 3.BOZUK PARA
Channel;KANAL (TV, radyo gibi.)
Chapter;BÖLÜM, KONU
Character;KİŞİLİK
Charge;1.DOLDURMAK 2.MASRAFA YAZMAK
Charity;HAYIR SEVERLİK,YARDIM SEVERLİK
Charlatan;ŞARLATAN
Charm;ÇEKİCİLİK
Charming;ÇEKİCİ
Chart;TABLO,ÇİZELGE
Charter;1)PATENT,BERAT,DEVLET ONAYLI 2)KİRALIK UÇAK,GEMİ vb.
Chase;KOVALAMAK
Chat;ÇENE ÇALMAK,SOHBET
Chatter;GEVEZELİK YAPMAK
Cheap;UCUZ
Cheat;1.HİLECİ 2.HİLE YAPMAK, KOPYA ÇEKMEK
Check;KONTROL ETMEK
Cheek;1)YANAK 2)POPO
Cheeky;YÜZSÜZ,KABA,KİBAR OLMAYAN
Cheer;1.NEŞE 2.COŞTURMAK
Cheerful;NEŞELİ,ŞEN,MUTLU
Cheese;PEYNİR
Chef;AHÇI,ŞEF (Yalnız yiyecek konusunda )
Chemical;KİMYASAL
Cheque;ÇEK
Cherry;KİRAZ
Chess;SATRANÇ
Chest;1)GÖĞÜS 2)SANDIK
Chest Of Drawers;ÇEKMECELİ DOLAP, KONSÜL
Chestnut;KESTANE
Chewing-Gum;SAKIZ
Chicken;PİLİÇ
Chief;ŞEF
Child;ÇOCUK
Childhood;ÇOCUKLUK
Chilli;ÇOK ACI
Chilly;RAHATSIZ EDİCİ SOĞUK
Chimney;BACA
Chin;ÇENE
China;1) ÇİN 2) ÇİNİ ,porselen v.b
Chip;UFAK PARÇA
Chocolate;ÇİKULATA
Choice;SEÇİM, İSTEK, TERCİH
Choke;1)BOĞMA,TIKAMA (BOĞARAK ÖLDÜRMEK) 2)JİKLE
Choose;SEÇMEK
Chop;1)KESMEK,YARMAK 2)PİRZOLA
Christian;HIRİSTİYAN
Chuckle;KIKIRDAMA
Church;KİLİSE
Cigar;PURO
Cigarette;SİGARA
Cinema;SİNEMA
Circle;1.ÇEMBER  2.GRUP (ÇEVRE)
Circuit;DEVRE(Close cırcuıt TV,Short-cırcuıt=Kısa devre vb)
Circular;YUVARLAK, ÇEMBERSEL, SİRKÜLER (imza v.b)
Circumstances;DURUM, VAZİYET
Circus;SİRK
Citizen;YURTTAŞ
City;KENT;SİTE
Civic;1.KENTE AİT 2.'CIVIC DUTY': YURTTAŞLIK GÖREVİ
Civil;SİVİL
Claim;İLERİ SÜRMEK, SAVLAMAK
Claimant;MAHKEMEDEN HAK TALEP EDEN,DAVACI
Clap;ALKIŞLAMAK
Clasp;SIKICA TUTMAK
Class;SINIF
Classic;KLASİK
Clay;KİL
Clean;1.TEMİZLEMEK 2.TEMİZ
Clear;1.AÇIK, BERRAK, ANLAŞILAN  2.(ortalığı) TOPLAMAK
Clerk;MEMUR
Clever;AKILLI
Client;MÜŞTERİ,MÜVEKKİL
Climate;IKLIM
Climb;TIRMANMAK, YÜKSELMEK
Clinic;KLİNİK
Clip;KIRPMAK,KESMEK,KLİPS (Kağıt,saρ vb.)
Cloakroom;VESTİYER, TUVALET
Clock;SAAT
Close;YAKIN
Close;1.SON 2.KAPALI 3.KAPATMAK
Cloth;BEZ ( a piece of cloth )
Clothes;GİYSİLER (her zaman çoğuldur )
Cloud;BULUT
Clown;PALYAÇO
Club;1.KLÜP 2.(kağıt oyunlarında) SİNEK
Clue;İPUCU
Clutch;1) DEBRİJAJ 2) KAVRAMA
Co;BERABER (Co-operate,Co-education)
Coach;1.ANTRENÖR 2.YOLCU VAGONU 3.ŞEHİRLERARASI OTOBÜS
Coal;KÖMÜR
Coast;KIYI, SAHİL
Coat;PALTO
Cobweb;ÖRÜMCEK AĞI
Cock;1)HOROZ,ERKEK KUŞ 2)ERKEKLİK ORGANI
Cocoa;KAKAO
Coconut;HİNDİSTAN CEVİZİ
Code;KOD
Coffee;KAHVE
Coffin;TABUT
Coin;MADENİ PARA
Cold;SOĞUK
Collapse;1)ÇÖKMEK 2)KATLAMAK
Collar;YAKA, TASMA
Colleague;MESLEKTAŞ
Collect;TOPLAMAK
Collective Agreement;TOPLU SÖZLEŞME
Colonel;ALBAY
Colour;RENK
Column;SÜTUN
Coma;KOMA, KOMA HALİ
Comb;TARAK
Come;GELMEK
Come Across;TESADÜFEN KARŞILAŞMAK VEYA BULMAK
Comet;KUYRUKLU YILDIZ
Comfort;KONFOR ,RAHAT
Comfortable;KONFORLU
Command;KUMANDA ETMEK
Commemorate;ANMAK (Kötü, üzücü bir olayı)
Commence;BAŞLAMAK
Commercial;1.TİCARİ 2.REKLAM ( filmi )
Commission;1)ATAMAK,GÖREVLENDİRMEK 2)KOMİSYON (kurul,ücret)
Commit;SUÇ İŞLEMEK (To commit murder)
Commitment;1)TAAHHÜT 2)SORUMLULUK
Common;1.AVAM, BASİT, SADE 2.ORTAK ,MÜŞTEREK
Communicate;İLETİŞİM
Community;TOPLUM
Commute;EVDEN İŞE HERGÜN UZUN YOL GİDİP GELMEK
Company;1.ŞİRKET, KUMPANYA 2.BERABERLİK, ARKADAŞLIK
Comparatively;MUKAYESELİ OLARAK
Compare;MUKAYESE ETMEK
Compass;1.PUSULA  2.PERGEL
Compensate;TELAFİ ETMEK,KARŞILAMAK
Compensation;TELAFİ,TAZMİNAT
Compete;YARIŞMAK
Competition;1.YARIŞMA 2.REKABET
Complain;YAKINMAK, ŞİKAYET ETMEK
Complete;BÜTÜN, TÜM, TAMAMI, BİTMİŞ
Complicated;KARIŞIK,KOMPLİKE
Compliment;İLTİFAT, KOMPLİMAN, HEDİYE
Components;UNSUR, PARÇA, BİLEŞİMDE BULUNAN
Compose;YAPIM (Şiir,şarkı,sanat eseri)
Composition;KOMPOZİSYON, BİRLEŞİK
Compound;BİRLEŞİK, BİLEŞİK
Compromise;UZLAŞMA
Computer;KOMPÜTÜR,BİLGİSAYAR
Concentrate;KONSANTRE,YOĞUN
Concept;GENEL FİKİR,DÜŞÜNCE,ANLAYIŞ-I have no conception why
Concern;1.İLGİLENDİRMEK  2.ÜZÜLMEK
Concern;İLGİ,ÜZÜNTÜ,ENDİŞE
Concert;KONSER
Conclude;1.SONUCA ULAŞMAK 2.KARAR VERMEK
Conclusion;KARAR,SONUÇ
Condemn;1)CEZALANDIRMAK 2)MAHKUM ETMEK(veya zorunlu kılmak)
Condition;DURUM, ŞART
Conduct;DAVRANIŞ, TAVIR,YOL GÖSTERMEK
Cone;1)KONİ 2)KÜLAH (Dondurma)
Conference;KONFERANS
Confess;İTİRAF ETMEK
Confidence;GÜVEN
Confine;KUŞATMAK,HAPSETMEK,SINIRLAMAK
Conflict;ÇATIŞMA,ÇELİŞKİ
Confuse;(kafası) KARIŞMAK, ŞAŞIRMAK
Congratulate;KUTLAMAK
Connect;BİRLEŞTİRMEK
Conquer;İŞGAL ETMEK
Conscience;VİCDAN, BİLİNÇ
Conscious;BİLİNÇLİ
Consent;KABUL ETME,ONAYLAMA
Consequently;BUNDAN DOLAYI,SONUÇ OLARAK,SONUNDA
Consider;1.GÖZ ÖNÜNE ALMAK  2.DÜŞÜNMEK
Consideration;DÜŞÜNÜŞ, TARTIŞ
Consign;1)SATIŞ İÇİN GÖNDERME2)BAŞKASINA DEVRETME(sorumluluk
Consist;OLUŞMAK
Consistent;TUTARLI, UYUMLU (kişi, yazı vb)
Constitute;OLUŞMAK,KURMAK
Constitution;ANAYASA
Construct;İNŞA ETMEK,YAPMAK
Consul;KONSOLOS
Consult;DANIŞMAK
Consultation;TOPLANTI, KONSÜLTASYON
Consume;TÜKETMEK
Consumption;TÜKETİM
Contact;TEMAS, DOKUNMA
Contain;KAPSAMAK
Container;KAP
Content;TATMİN OLMUŞ
Contents;İÇERİK
Contest;YARIŞMA
Continent;KITA
Continuous;SÜREKLİ
Contract;KONTRAT,ANLAŞMA
Contrary;TERSİNE, ZIDDINA
Contrast;KARŞILAŞTIRMAK
Contribute;KATKIDA BULUNMAK
