TERK ETMEK;Abandon
1)KABUL ETMEK 2)EVLAT EDİNMEK;Adopt
YETİŞKİN;Adult
1.İLERİ 2.AVANS;Advance
GELİŞMİŞ;Advanced
AVANTAJ;Advantage
MACERA;Adventure
ZIT,KARŞI;Adverse
REKLAM YAPMAK, İLAN VERMEK;Advertise
TAVSİYE;Advice
TAVSİYE ETMEK;Advise
ANTEN;Aerial
UÇAK;Aeroplane
1.OLAY 2.İŞ 3.İLİŞKİ;Affair
ETKİLEMEK;Affect
SATIN ALMA GÜCÜ OLMAK;Afford
KORKMAK;Afraid
SONRA;After
ÖĞLEDEN SONRA;Afternoon
(bir olaydan) SONRA;Afterwards
BİR DAHA,YİNE;Again
KARŞI, ZIT;Against
1.YAŞ 2.ÇAĞ;Age
YAŞINDA;Aged
ACENTE;Agency
TEMSİLCİ, ARACI;Agent
SALDIRGAN, KAVGACI;Aggressive
ÖNCE;Ago
ANLAŞMAK;Agree
ANLAŞMA;Agreement
TARIM;Agriculture
ÖNDE;Ahead
YARDIM;Aid
1.AMAÇ 2.HEDEF ALMAK;Aim
1.HAVA 2.HAVALANDIRMA;Air
HAVA ALANI;Airport
ALARM;Alarm
ALBÜM;Album
ALKOL;Alcohol
CEBİR;Algebra
HEMEN HEMEN AYNI, BENZER, AYNI YOLDA;Alike
YAŞAMAK,CANLI;Alive
1.HEP 2.TÜM 3.HER;All
1.TAMAM 2.EVET;All Right
BAĞLAŞMA, BİRLİK, MÜTAREKE;Alliance
TİMSAH;Alligator
TAHSİS ETMEK, DAĞITMAK,BÖLÜŞTÜRMEK;Allocate
TAHSİSAT;Allocations
İZİN VERMEK;Allow
DÜZENLİ SAĞLANAN PARA,HARÇLIK;Allowance
ANLAŞMA,BİRLEŞME;Ally
HEMEN HEMEN;Almost
1.YALNIZ  2.TEK;Alone
1.BOYUNCA  2.İLERİ;Along
SESLİ;Aloud
ALFABE;Alphabet
AZ ÖNCE, ZATEN;Already
HEM DE;Also
DEĞİŞTİRMEK;Alter
ALTERNATİF, SEÇENEK;Alternative
1.GERÇİ 2.OLMAKLA BERABER;Although
TÜMÜYLE, HEP BERABER;Altogether
HER ZAMAN;Always
AMATÖR;Amateur
ŞAŞIRTMAK;Amaze
BÜYÜKELÇİ;Ambassador
HIRS;Ambition
AMBULANS;Ambulance
TUZAK;Ambush
DÜZELME, AYARLAMA;Amend
ARASINDA;Among
MİKTAR;Amount
GENİŞ, BOL;Ample
GÜLDÜRMEK;Amuse
1)ÇAPA 2)DEMİR ATMAK (Gemi);Anchor
VE;And
MELEK;Angel
KIZMAK;Anger
AÇI, KÖŞE;Angle
KIZGIN;Angry
HAYVAN;Animal
AYAK BİLEĞİ;Ankle
YILDÖNÜMÜ;Anniversary
BİLDİRMEK, ÇAĞRIDA BULUNMAK, ANONS;Announce
RAHATSIZ ETMEK, KIZDIRMAK;Annoy
YILLIK;Annual
DİĞER, BİR BAŞKA;Another
YANIT;Answer
KARINCA;Ant
KARŞI, ZIT, TERS;Anti
1)ÖN GÖRMEK 2)BEKLEMEK;Anticipate
ANTİKA;Antique
ENDİŞE;Anxiety
ENDİŞELİ;Anxious
ENDİŞELİ OLMAK;Anxiously
HERHANGİ;Any
HERHANGİ BİRİ;Anybody
HERHANGİ BİRİ;Anyone
HERHANGİ BİR ŞEY;Anything
HER NEYSE;Anyway
HERHANGİ BİR YER;Anywhere
AYRI;Apart
HARİÇ, DIŞINDA;Apart From
APARTMAN DAİRESİ;Apartment
MAYMUN;Ape
ÖZÜR DİLEMEK;Apologize
AÇIK;KOLAYCA GÖRÜNEN;Apparent
BARİZ OLMAK,GÖRÜNMEK;Apparently
1.HOŞA GİDEN 2.YALVARMAK 3.ÜST MAHKEMEYE BAŞVURMAK;Appeal
GÖRÜNMEK;Appear
GÖRÜNÜŞ;Appearance
İŞTAH;Appetite
ELMA;Apple
BAŞVURAN;Applicant
BAŞVURU;Application
1.BAŞVURMAK 2.UYGULAMAK;Apply
ATAMAK;Appoint
1.RANDEVU 2.ATAMA;Appointment
MÜTEŞEKKİR, DEĞER BİLMEK ,BEĞENMEK;Appreciate
1.YAKLAŞMAK 2.YAKLAŞIM 3.GELİŞ;Approach
ONAYLAMAK;Approve
YAKLAŞIK OLARAK;Approximate
KAYISI;Apricot
NİSAN;April
BAŞPİSKOPOS;Archbishop
MİMAR;Architect
MİMARİ;Architecture
ALAN, BÖLGE;Area
TARTIŞMAK;Argue
TARTIŞMA;Argument
KALKMAK, YÜKSELMEK;Arise
ARİSTOKRAT;Aristocrat
KOL, SİLAH;Arm
KOLTUK;Armchair
ZIRH;Armour
ORDU;Army
1.AŞAĞI YUKARI 2.ÇEVRE;Around
DÜZENLEMEK, AYARLAMAK;Arrange
TUTUKLAMAK;Arrest
VARIŞ;Arrival
VARMAK;Arrive
OK;Arrow
SANAT;Art
1.MAKALE 2.EŞYA;Article
ANA SÖZLEŞME;Article Of Association
YAPAY;Artificial
SANATÇI;Artist
1.GİBİ 2.OLARAK 3.OLARAK;As
KÜL;Ash
UTANMIŞ;Ashamed
BİR YANDA;Aside
SORMAK, İSTEMEK;Ask
UYKUDA;Asleep
GÖRÜNÜŞ, GÖRÜŞ, HAL, ÇEHRE, DURUM;Aspect
1.EŞEK 2.APTAL;Ass
1.MONTAJ 2.OTURUM;Assembly
VARLIK;Asset
YARDIM ETMEK;Assist
YARDIMCI;Assistant
İLGİLENMEK, BİRLEŞTİRMEK;Associate
CEMİYET,BİRLİK,AYNI ŞEYLE İLGİLİ OLAN;Association
VARSAYMAK;Assume
GÜVEN,İNANÇ,SÖZ;Assurance
TEMİN ETMEK,SÖZ VERMEK,İKNA ETMEK;Assure
1)ÖNCEDEN BELLİ 2)KENDİNE GÜVENEN;Assured
ŞAŞIRMAK (bir kimseye);Astonish
DE..DA  eki;At
HAVAKÜRE, ATMOSFER;Atmosphere
BİRLEŞTİRMEK;Attach
İLAVE, EK;Attachment
SALDIRMAK, ATAK;Attack
DENEMEK;Attempt
KATILMAK, (bir yerde)BULUNMAK;Attend
1) HİZMETÇİ, HİZMETKAR 2) REFAKAT EDEN KİMSE;Attendant
DİKKAT;Attention
YAKLAŞIM, DÜŞÜNCE, HAREKET, TAVIR;Attitude
ÇEKİCİ;Attractive
MÜZAYEDE, MEZAT;Auction
İZLEYİCİ (TV,Tiyatro vb.);Audience
İLAVE ETMEK, ARTTIRMAK, ZAM YAPMAK;Augment
ZAM, EKLEME;Augmentation
AĞUSTOS;August
TEYZE, HALA;Aunt
YAZAR;Author
OTORİTE;Authority
SONBAHAR;Autumn
HAZIR, SERBEST, BOŞTA;Available
CADDE;Avenue
ORTALAMA;Average
KAÇINMAK;Avoid
UYANIK;Awake
MÜKAFAT;Award
BİLGİLİ, FARKINDA OLMAK, HABERDAR OLMAK;Aware
BURADAN, BURADA DEĞİL;Away
KÖTÜ, BERBAT, ÜZÜCÜ;Awful
1)ACEMİ,SAKAR 2)KULLANILMASI,ANLAŞILMASI GÜÇ;Awkward
BALTA;Axe
BEBEK;Baby
ÇOCUK BAKICISI;Babysitter
1)BEKAR 2)ÜNİVERSİTENİN İLK DERECESİ;Bachelor
1.ARKA 2.SIRT;Back
1.SIRT KEMİĞİ 2.BİR İŞİN TEMELİ;Backbone
1)OMURGA 2)TEMEL TAŞI, EN ÖNEMLİ BÖLÜM;Backbone
1.FON, GERİ PLAN 2.TEMEL;Background
GERİYE DOĞRU;Backward
KÖTÜ;Bad
1.KÖTÜ 2.ÇOK FAZLA;Badly
ÇANTA;Bag
BAGAJ;Baggage
PİŞİRMEK;Bake
FIRINCI;Baker
1.DENGE 2.BAKİYE;Balance
BALKON;Balcony
KEL;Bald
BALYA (Halı,Tütün vs.);Bale
1.TOP 2.BALO;Ball
BALERİN;Ballerina
BALE;Ballet
BALON;Balloon
YASAK;Ban
BANAL,ADİ;Banal
MUZ;Banana
1.BANT (şerit)  2.BANDO;Band
BANDAJ,YARA BANDI;Bandage
KÖTÜ, KÖTÜ ŞEY (A Baneful ınfluence=Kötü etki);Baneful
1)SÜRGÜNE YOLLAMA 2)DÜŞÜNMEKTEN VAZGEÇME;Banish
BANKA;Bank
BANKA YÖNETİCİSİ, BANKER;Banker
KAĞIT PARA;Banknote
İFLAS;Bankrupt
1.ÇUBUK 2.BAR;Bar
BARBAR, VAHŞİ;Barbarous
BERBER;Barber
ÇIPLAK, BOŞ;Bare
1.PAZARLIK ETMEK 2.KELEPİR;Bargain
1.VARİL 2.NAMLU;Barrel
1. TABAN 2.ÜS;Base
BODRUM;Basement
KAZAN;Basin
1) LEĞEN 2) LEĞEN DOLUSU 3) HAVZA;Basin
SEPET;Basket
1)DEĞERİNİ DÜŞÜRMEK 2)KONUNUN ANLAMINI DEĞİŞTİRMEK;Bastardize
YIKANMAK;Bath
YIKAMAK (bedenin bir bölümünü);Bathe
PİL;Battery
SAVAŞ, MUHAREBE;Battle
BAĞIRMAK VEYA AĞLAMAK (Seslice);Bawl
KOY;Bay
SAHİL;Beach
FASULYE;Bean
1.TAŞIMAK, DAYANABİLMEK 2.AYI;Bear
SAKAL;Beard
CANAVAR;Beast
1.VURMAK  2.YENMEK;Beat
GÜZEL;Beautiful
GÜZELLİK;Beauty
ÇÜNKÜ;Because
GELİŞMEK, DEĞİŞMEK;Become
YATAK;Bed
ARI;Bee
DANA ETİ;Beef
BİRA;Beer
HAMAMBÖCEĞİ;Beetle
ÖNCE;Before
ÖNCEDEN;Beforehand
DİLENMEK;Beg
BAŞLAMAK;Begin
DAVRANMAK;Behave
ARKADA, GERİDE;Behind
VARLIK;Being
İNANMAK;Believe
ZİL, ÇAN;Bell
AİT OLMAK;Belong
ALTTA, AŞAĞIDA;Below
KEMER;Belt
1.TEZGAH  2.BANK;Bench
EĞMEK, EĞİLMEK;Bend
ALTINDA;Beneath
YARARI OLMAK;Benefit
KÜÇÜK ÇEKİRDEKSİZ MEYVE;Berry
YANINDA;Beside
HEM DE;Besides
EN İYİ;Best
İDDİA ETMEK, İDDİAYA GİRMEK;Bet
DAHA İYİ;Better
ARASINDA;Between
ÖTESİNDE;Beyond
ÖN YARGI,EĞİLİM;Bias
BİSİKLET;Bicycle
BÜYÜK;Big
BİSİKLET;Bike
1.MAKBUZ 2.HESAP 3.KANUN TASLAĞI 4.GAGA (KUŞ);Bill
KAP;Bin
BAĞLAMAK;Bind
KUŞ;Bird
DOĞUM;Birth
DOĞUMGÜNÜ;Birthday
BİSKÜVİ;Biscuit
PİSKOPOS;Bishop
1.PARÇA 2.MATKAP,ANAHTARIN UCU 3.ISIRMANIN PAST ŞEKLİ;Bit
ISIRMAK;Bite
SİYAH;Black
1) MESANE, KESE, SİDİK TORBASI 2)İÇ LASTİK;Bladder
USTURA, BIÇAK;Blade
SORUMLU TUTMAK, SUÇLAMAK;Blame
BOŞLUK;Blank
BATTANİYE;Blanket
PATLAYARAK PARÇALANMA, MAHVETMEK;Blast
(Tanrı'dan) KORUNMASINI DİLEMEK, TAKDİS;Bless
KÖR;Blind
KABARCIK;Blister
BLOK;Block
ABLUKAYA ALMA;Blockade
KAN;Blood
ÇİÇEK, ÇİÇEK AÇMAK;Bloom
BLUZ;Blouse
ÜFLEMEK, PATLAMAK;Blow
1. MAVİ 2.MUTSUZ;Blue
BLÖF;Bluff
BİNMEK (gemiye,uçağa,vs.) 2.TAHTA 3.KURUL;Board
ÖVÜNMEK;Boast
BOT,SANDAL;Boat
GÖVDE,VÜCUT;Body
KORUMA GÖREVLİSİ, GORİL;Bodyguard
KAYNAMAK;Boil
KAZAN;Boiler
CÜRETKAR, UTANMAZ, KORKUSUZ vs.;Bold
1)CIVATA2)SÜRGÜ(kapı) 3)ANİ KAÇIŞ(korkuyla) 4)SOMUN;Bolt
BOMBA;Bomb
KEMİK;Bone
MEYDAN ATEŞİ, ŞENLİK ATEŞİ;Bonfire
1)ÇOCUK BAŞLIĞI 2)ARABANIN KAPUTU;Bonnet
ÇOK ZAYIF;Bony
KİTAP;Book
YER AYIRTMAK;Book
BROŞÜR;Booklet
1)PATLAMAK 2)ÇOK HIZLI GENİŞLEMEK;Boom
1)AYAKKABI,BOT 2)BAGAJ;Boot
SINIR;Border
CAN SIKMAK;Bore
CANI SIKILMIŞ;Bored
SIKICI (I'm bored=Sıkıldım,I'm boring=Sıkıcıyım);Boring
DOĞMUŞ;Born
ÖDÜNÇ ALMAK;Borrow
PATRON;Boss
İKİSİ;Both
CAN SIKMAK,ÜZMEK;Bother
ŞİŞE;Bottle
EN ALT, DİP;Bottom
1)YANSITMAK 2)ZIPLATMAK (Top vs.);Bounce
BAĞLI, SINIRLI,ATLAMAK;Bound
SINIR;Boundary
YAY;Bow
TAS;Bowl
1.KUTU 2.BOKS;Box
ERKEK ÇOCUK;Boy
SUTYEN;Bra
BEYİN;Brain
FRENLEMEK, FREN;Brake
1)DAL 2)ŞUBE,KOL;Branch
1)MARKA 2)LEKELEMEK,KÖTÜ ÜN;Brand
YENİ MODEL,YEPYENİ;Brand-New
PİRİNÇ (metal);Brass
KORKUSUZ, CESUR;Brave
EKMEK;Bread
KIRMAK;Break
1)ÇÖKÜŞ 2)AYIRMA,SINIFLAMA,DETAYLANDIRMA;Break Down
KAHVALTI;Breakfast
1)ANİDEN BAŞLAMA,PATLAK VERME(SAVAŞ)2)KAÇMAK(HAPİS);Break-Out
GÖĞÜS;Breast
NEFES;Breath
NEFES ALMAK;Breathe
RÜŞVET;Bribe
TUĞLA;Brick
GELİN;Bride
KÖPRÜ;Bridge
KISA, ÖZETLİ;Brief
İŞ ÇANTASI;Briefcase
PARLAK;Bright
PARLAK,AKILLI;Brilliant
GETİRMEK;Bring
GENİŞ;Broad
YAYIN (radyo ve T.V. yoluyla);Broadcast
BROŞÜR;Brochure
KIRIK;Broken
KOMİSYONCU,SİMSAR;Broker
BROŞ, İĞNE;Brooch
SÜPÜRGE;Broom
ERKEK KARDEŞ, AĞABEY;Brother
KAYINBIRADER;Brother-In-Law
ALIN;Brow
KAHVERENGİ;Brown
1.FIRÇA  2.FIRÇALAMAK;Brush
KOVA;Bucket
1.BÜTÇE  2.BÜTÇE YAPMAK;Budget
İNŞA ETMEK, YAPMAK;Build
BİNA;Building
AMPUL;Bulb
BOĞA;Bull
MERMİ;Bullet
ÇARPIŞMA;Bump
TAMPON (araba);Bumper
ENGEBELİ;Bumpy
DESTE, DEMET;Bunch
BUNGALOV;Bungalow
BÜRO;Bureau
BÜROKRASİ;Bureaucracy
HIRSIZ;Burglar
YANMAK;Burn
PATLAMAK;Burst
GÖMMEK;Bury
OTOBÜS;Bus
ÇALI;Bush
İŞ;Business
MEŞGUL;Busy
FAKAT;But
KASAP;Butcher
TEREYAĞ;Butter
DÜĞME;Button
SATIN ALMAK;Buy
YANINDA, SIRASINDA, TARAFINDAN, ..E KADAR;By
BUNUN YANINDA, AKLIMA GELMİŞKEN;By The Way
TAKSİ;Cab
LAHANA;Cabbage
KABİN;Cabin
KABİNE;Cabinet
1.KABLO 2.TELGRAF;Cable
KAFES;Cage
KEK;Cake
HESAPLAMAK;Calculate
TAKVİM;Calendar
1)FİL veya BALİNA YAVRUSU, BUZAĞI 2)BALDIR;Calf
1.ÇAĞIRMAK 2.TELEFON ETMEK 3.KISA ZİYARET;Call
SAKİN;Calm
DEVE;Camel
KAMERA;Camera
SAKLAMAK;Camouflage
KAMP;Camp
KAMPANYA;Campaign
KAMPÜS;Campus
TENEKE KUTU;Can
KANAL;Canal
1) KANARYA KUŞU 2)KANARYA SARISI;Canary
İPTAL ETMEK;Cancel
İPTAL;Cancellation
KANSER;Cancer
ADAY;Candidate
MUM;Candle
TOP (silah);Cannon
KANTİN;Canteen
MUKTEDİR;Capable
KAPASİTE;Capacity
1.BAŞKENT 2.BÜYÜK HARF 3.SERMAYE, ANAMAL;Capital
1.KAPTAN  2.YÜZBAŞI;Captain
1.ELE GEÇİRMEK  2.HAPSE ATMAK;Capture
ARABA;Car
KARAVAN;Caravan
KARBON KAĞIDI;Carbon-Paper
KART;Card
HIRKA;Cardigan
DİKKAT, ÖZEN;Care
MESLEK;Career
ÖNEMSEMEYEN;Carefree
DİKKATLİ;Careful
DİKKATSİZ;Careless
KARGO;Cargo
KARNAVAL;Carnival
MARANGOZ;Carpenter
HALI;Carpet
1.FAYTON 2.VAGON;Carriage
TAŞIYICI;Carrier
HAVUÇ;Carrot
TAŞIMAK;Carry
DEVİR;Carryover
KARTUŞ,ŞARJÖR;Cartridge
1.KUTU,KAP 2.DAVA;Case
NAKİT;Cash
YAZAR KASA;Cash-Register
KALE;Castle
1)PLANLANMIYAN (casual meeting) 2)NORMAL, SADE;Casual
KEDİ;Cat
YAKALAMAK;Catch
TIRTIL;Caterpillar
BÜYÜKBAŞ HAYVAN;Cattle
KARNIBAHAR;Cauliflower
1.NEDEN  2.NEDEN OLMAK;Cause
UYARI;Caution
MAĞARA;Cave
DURDURMAK;Cease
ATEŞ-KES;Cease-Fire
TAVAN;Ceiling
KUTLAMA;Celebration
HÜCRE (hapis,beyin v.b);Cell
KİLER, BODRUM;Cellar
ÇİMENTO;Cement
MERKEZİ;Central
ORTA, MERKEZ;Centre
YÜZYIL;Century
TAHIL, MISIR;Cereal
SEREMONİ;Ceremony
KESİN,BELİRLİ,  EMİN OLMAK;Certain
KUŞKUSUZ;Certainly
SERTİFİKA;Certificate
ZİNCİR;Chain
İSKEMLE;Chair
YÖNETİM KURULU BAŞKANI;Chairman
TEBEŞİR;Chalk
MEYDAN OKUMA;Challenge
ODA (Chamber of commerce = Ticaret odası vb.);Chamber
ŞAMPANYA;Champagne
ŞAMPİYON;Champion
ŞAMPİYONA;Championship
ŞANS, FIRSAT;Chance
1.DEĞİŞMEK  2.DEĞİŞİM 3.BOZUK PARA;Change
KANAL (TV, radyo gibi.);Channel
BÖLÜM, KONU;Chapter
KİŞİLİK;Character
1.DOLDURMAK 2.MASRAFA YAZMAK;Charge
HAYIR SEVERLİK,YARDIM SEVERLİK;Charity
ŞARLATAN;Charlatan
ÇEKİCİLİK;Charm
ÇEKİCİ;Charming
TABLO,ÇİZELGE;Chart
1)PATENT,BERAT,DEVLET ONAYLI 2)KİRALIK UÇAK,GEMİ vb.;Charter
KOVALAMAK;Chase
ÇENE ÇALMAK,SOHBET;Chat
GEVEZELİK YAPMAK;Chatter
UCUZ;Cheap
1.HİLECİ 2.HİLE YAPMAK, KOPYA ÇEKMEK;Cheat
KONTROL ETMEK;Check
1)YANAK 2)POPO;Cheek
YÜZSÜZ,KABA,KİBAR OLMAYAN;Cheeky
1.NEŞE 2.COŞTURMAK;Cheer
NEŞELİ,ŞEN,MUTLU;Cheerful
PEYNİR;Cheese
AHÇI,ŞEF (Yalnız yiyecek konusunda );Chef
KİMYASAL;Chemical
ÇEK;Cheque
KİRAZ;Cherry
SATRANÇ;Chess
1)GÖĞÜS 2)SANDIK;Chest
ÇEKMECELİ DOLAP, KONSÜL;Chest Of Drawers
KESTANE;Chestnut
SAKIZ;Chewing-Gum
PİLİÇ;Chicken
ŞEF;Chief
ÇOCUK;Child
ÇOCUKLUK;Childhood
ÇOK ACI;Chilli
RAHATSIZ EDİCİ SOĞUK;Chilly
BACA;Chimney
ÇENE;Chin
1) ÇİN 2) ÇİNİ ,porselen v.b;China
UFAK PARÇA;Chip
ÇİKULATA;Chocolate
SEÇİM, İSTEK, TERCİH;Choice
1)BOĞMA,TIKAMA (BOĞARAK ÖLDÜRMEK) 2)JİKLE;Choke
SEÇMEK;Choose
1)KESMEK,YARMAK 2)PİRZOLA;Chop
HIRİSTİYAN;Christian
KIKIRDAMA;Chuckle
KİLİSE;Church
PURO;Cigar
SİGARA;Cigarette
SİNEMA;Cinema
1.ÇEMBER  2.GRUP (ÇEVRE);Circle
DEVRE(Close cırcuıt TV,Short-cırcuıt=Kısa devre vb);Circuit
YUVARLAK, ÇEMBERSEL, SİRKÜLER (imza v.b);Circular
DURUM, VAZİYET;Circumstances
SİRK;Circus
YURTTAŞ;Citizen
KENT,SİTE;City
1.KENTE AİT 2.'CIVIC DUTY': YURTTAŞLIK GÖREVİ;Civic
SİVİL;Civil
İLERİ SÜRMEK, SAVLAMAK;Claim
MAHKEMEDEN HAK TALEP EDEN,DAVACI;Claimant
ALKIŞLAMAK;Clap
SIKICA TUTMAK;Clasp
SINIF;Class
KLASİK;Classic
KİL;Clay
1.TEMİZLEMEK 2.TEMİZ;Clean
1.AÇIK, BERRAK, ANLAŞILAN  2.(ortalığı) TOPLAMAK;Clear
MEMUR;Clerk
AKILLI;Clever
MÜŞTERİ,MÜVEKKİL;Client
IKLIM;Climate
TIRMANMAK, YÜKSELMEK;Climb
KLİNİK;Clinic
KIRPMAK,KESMEK,KLİPS (Kağıt,saρ vb.);Clip
VESTİYER, TUVALET;Cloakroom
SAAT;Clock
YAKIN;Close
1.SON 2.KAPALI 3.KAPATMAK;Close
BEZ ( a piece of cloth );Cloth
GİYSİLER (her zaman çoğuldur );Clothes
BULUT;Cloud
PALYAÇO;Clown
1.KLÜP 2.(kağıt oyunlarında) SİNEK;Club
İPUCU;Clue
1) DEBRİJAJ 2) KAVRAMA;Clutch
BERABER (Co-operate,Co-education);Co
1.ANTRENÖR 2.YOLCU VAGONU 3.ŞEHİRLERARASI OTOBÜS;Coach
KÖMÜR;Coal
KIYI, SAHİL;Coast
PALTO;Coat
ÖRÜMCEK AĞI;Cobweb
1)HOROZ,ERKEK KUŞ 2)ERKEKLİK ORGANI;Cock
KAKAO;Cocoa
HİNDİSTAN CEVİZİ;Coconut
KOD;Code
KAHVE;Coffee
TABUT;Coffin
MADENİ PARA;Coin
SOĞUK;Cold
1)ÇÖKMEK 2)KATLAMAK;Collapse
YAKA, TASMA;Collar
MESLEKTAŞ;Colleague
TOPLAMAK;Collect
TOPLU SÖZLEŞME;Collective Agreement
ALBAY;Colonel
RENK;Colour
SÜTUN;Column
KOMA, KOMA HALİ;Coma
TARAK;Comb
GELMEK;Come
TESADÜFEN KARŞILAŞMAK VEYA BULMAK;Come Across
KUYRUKLU YILDIZ;Comet
KONFOR ,RAHAT;Comfort
KONFORLU;Comfortable
KUMANDA ETMEK;Command
ANMAK (Kötü, üzücü bir olayı);Commemorate
BAŞLAMAK;Commence
1.TİCARİ 2.REKLAM ( filmi );Commercial
1)ATAMAK,GÖREVLENDİRMEK 2)KOMİSYON (kurul,ücret);Commission
SUÇ İŞLEMEK (To commit murder);Commit
1)TAAHHÜT 2)SORUMLULUK;Commitment
1.AVAM, BASİT, SADE 2.ORTAK ,MÜŞTEREK;Common
İLETİŞİM;Communicate
TOPLUM;Community
EVDEN İŞE HERGÜN UZUN YOL GİDİP GELMEK;Commute
1.ŞİRKET, KUMPANYA 2.BERABERLİK, ARKADAŞLIK;Company
MUKAYESELİ OLARAK;Comparatively
MUKAYESE ETMEK;Compare
1.PUSULA  2.PERGEL;Compass
TELAFİ ETMEK,KARŞILAMAK;Compensate
TELAFİ,TAZMİNAT;Compensation
YARIŞMAK;Compete
1.YARIŞMA 2.REKABET;Competition
YAKINMAK, ŞİKAYET ETMEK;Complain
BÜTÜN, TÜM, TAMAMI, BİTMİŞ;Complete
KARIŞIK,KOMPLİKE;Complicated
İLTİFAT, KOMPLİMAN, HEDİYE;Compliment
UNSUR, PARÇA, BİLEŞİMDE BULUNAN;Components
YAPIM (Şiir,şarkı,sanat eseri);Compose
KOMPOZİSYON, BİRLEŞİK;Composition
BİRLEŞİK, BİLEŞİK;Compound
UZLAŞMA;Compromise
KOMPÜTÜR,BİLGİSAYAR;Computer
KONSANTRE,YOĞUN;Concentrate
GENEL FİKİR,DÜŞÜNCE,ANLAYIŞ-I have no conception why;Concept
1.İLGİLENDİRMEK  2.ÜZÜLMEK;Concern
İLGİ,ÜZÜNTÜ,ENDİŞE;Concern
KONSER;Concert
1.SONUCA ULAŞMAK 2.KARAR VERMEK;Conclude
KARAR,SONUÇ;Conclusion
1)CEZALANDIRMAK 2)MAHKUM ETMEK(veya zorunlu kılmak);Condemn
DURUM, ŞART;Condition
DAVRANIŞ, TAVIR,YOL GÖSTERMEK;Conduct
1)KONİ 2)KÜLAH (Dondurma);Cone
KONFERANS;Conference
İTİRAF ETMEK;Confess
GÜVEN;Confidence
KUŞATMAK,HAPSETMEK,SINIRLAMAK;Confine
ÇATIŞMA,ÇELİŞKİ;Conflict
(kafası) KARIŞMAK, ŞAŞIRMAK;Confuse
KUTLAMAK;Congratulate
BİRLEŞTİRMEK;Connect
İŞGAL ETMEK;Conquer
VİCDAN, BİLİNÇ;Conscience
BİLİNÇLİ;Conscious
KABUL ETME,ONAYLAMA;Consent
BUNDAN DOLAYI,SONUÇ OLARAK,SONUNDA;Consequently
1.GÖZ ÖNÜNE ALMAK  2.DÜŞÜNMEK;Consider
DÜŞÜNÜŞ, TARTIŞ;Consideration
1)SATIŞ İÇİN GÖNDERME2)BAŞKASINA DEVRETME(sorumluluk;Consign
OLUŞMAK;Consist
TUTARLI, UYUMLU (kişi, yazı vb);Consistent
OLUŞMAK,KURMAK;Constitute
ANAYASA;Constitution
İNŞA ETMEK,YAPMAK;Construct
KONSOLOS;Consul
DANIŞMAK;Consult
TOPLANTI, KONSÜLTASYON;Consultation
TÜKETMEK;Consume
TÜKETİM;Consumption
TEMAS, DOKUNMA;Contact
KAPSAMAK;Contain
KAP;Container
TATMİN OLMUŞ;Content
İÇERİK;Contents
YARIŞMA;Contest
KITA;Continent
SÜREKLİ;Continuous
KONTRAT,ANLAŞMA;Contract
TERSİNE, ZIDDINA;Contrary
KARŞILAŞTIRMAK;Contrast
KATKIDA BULUNMAK;Contribute
KONTROL ETMEK, YÖNETMEK;Control
